facility_id,facility_name,category,building,floor,location,description,capacity,status,facilities
FAC-001,Girls Room,Student Facility,,,Campus Central Area,Dedicated student common room and resting space for female students with privacy and comfort.,,Active,"Seating area, First Aid kit, Washroom access, Rest area"
FAC-002,Reading Room,Academic / Study Facility,,,Near Central Library,"Quiet study, reading, and research space for students and faculty.",,Active,"Study desks, Reading lamps, Wi-Fi connectivity, Reference book racks"
FAC-003,Central Library,Library / Study,Central Academic Block,Ground Floor,"Central Campus, Near Academic Blocks","Main campus library with extensive textbook collections, journals, digital catalog, and reading hall.",250,Active,"Digital catalogue, E-library terminals, Reading desks, Book issue counter"
FAC-004,College Auditorium,Academic / Study Facility,Main Auditorium Complex,Ground Floor,"Central Campus, Opposite Library","Fully air-conditioned auditorium for major institutional events, guest lectures, convocations, and conferences.",600,Active,"Audio-Visual stage, Projector system, Acoustic wall treatment, Green room"
FAC-005,Central Seminar Hall,Academic / Study Facility,Central Academic Block,First Floor,Near Library,"Multi-purpose seminar hall equipped for technical presentations, department workshops, and webinars.",150,Active,"Smart podium, HD Projector, PA sound system, Video conferencing setup"
FAC-006,Medical & First Aid Room,Health,Administration Block,Ground Floor,Near Admin Office,"Campus health center providing emergency first aid, medical assistance, and resting beds for students and staff.",10,Active,"Emergency first aid supplies, Patient examination bed, Wheelchair, BP monitor"
FAC-007,Administration Office & Accounts,Administrative,Administration Block,Ground Floor,Center Campus,"Central administrative offices including Principal Office, Registrar, Student Section, and Accounts Office.",50,Active,"Student inquiry counters, Fee payment desk, Principal secretariat, Meeting room"
FAC-008,Training & Placement Cell,Administrative,Administration Block,First Floor,"Administration Block, 1st Floor","Corporate relations, campus interview rooms, group discussion halls, and career guidance cell.",80,Active,"Interview cabins, GD round table room, Presentation screen, Waiting lounge"
FAC-009,Sports Complex & Gymnasium,Sports,Sports Block,Ground Floor,"South Campus, Near Playground","Indoor sports arenas including badminton court, table tennis, chess hall, and fitness gymnasium.",120,Active,"Badminton wooden court, Table tennis boards, Gym workout machines, Lockers"
FAC-010,Open Air Amphitheatre,Student Facility,Central Garden,Ground Level,Central Campus Garden,"Open-air theatre for cultural rehearsals, student club activities, music sessions, and informal gatherings.",300,Active,"Stepped stone seating, Open stage, Garden lighting, Power outlets"
FAC-011,Central Food Court & Canteen,Student Facility,Food Court Block,Ground Floor,"Central Campus, Near Library","Main college cafeteria serving hygienic meals, refreshments, hot beverages, and snacks.",200,Active,"Hygienic dining tables, Water filtration cooler, Beverage kiosk, Food counters"
FAC-012,Campus Main Entrance Gate,Campus Landmark / Entry,Main Entry Gate,Ground Level,"Campus Main Entry, North Side","Primary campus entrance for students, staff, visitors, and university transport with 24x7 security post.",,Active,"Security check post, Visitor registration desk, CCTV surveillance, Boom barrier"
