subject_id	program	department	year	semester	subject_name
1	BCA	Computer Applications	FY	1	AI Fundamentals
2	BCA	Computer Applications	FY	1	CAD/CAM
3	BCA	Computer Applications	FY	1	Cyber Security
4	BCA	Computer Applications	FY	1	DBMS
5	BCA	Computer Applications	FY	1	Digital Electronics
6	BCA	Computer Applications	FY	1	Operating Systems
7	BCA	Computer Applications	FY	1	Project Lab
8	BCA	Computer Applications	FY	2	AI Fundamentals
9	BCA	Computer Applications	FY	2	CAD/CAM
10	BCA	Computer Applications	FY	2	Electrical Machines
11	BCA	Computer Applications	FY	2	Machine Learning
12	BCA	Computer Applications	FY	2	Physics
13	BCA	Computer Applications	FY	2	Software Engineering
14	BCA	Computer Applications	FY	2	Thermodynamics
15	BCA	Computer Applications	SY	3	CAD/CAM
16	BCA	Computer Applications	SY	3	Cloud Computing
17	BCA	Computer Applications	SY	3	Computer Networks
18	BCA	Computer Applications	SY	3	Physics
19	BCA	Computer Applications	SY	3	Project Lab
20	BCA	Computer Applications	SY	3	Software Engineering
21	BCA	Computer Applications	SY	3	Surveying
22	BCA	Computer Applications	SY	4	CAD/CAM
23	BCA	Computer Applications	SY	4	Cloud Computing
24	BCA	Computer Applications	SY	4	Computer Networks
25	BCA	Computer Applications	SY	4	DBMS
26	BCA	Computer Applications	SY	4	Digital Electronics
27	BCA	Computer Applications	SY	4	Electrical Machines
28	BCA	Computer Applications	SY	4	Java Programming
29	BCA	Computer Applications	TY	5	CAD/CAM
30	BCA	Computer Applications	TY	5	Computer Networks
31	BCA	Computer Applications	TY	5	Digital Electronics
32	BCA	Computer Applications	TY	5	Electrical Machines
33	BCA	Computer Applications	TY	5	Machine Learning
34	BCA	Computer Applications	TY	5	Physics
35	BCA	Computer Applications	TY	5	Thermodynamics
36	BCA	Computer Applications	TY	6	AI Fundamentals
37	BCA	Computer Applications	TY	6	CAD/CAM
38	BCA	Computer Applications	TY	6	Cloud Computing
39	BCA	Computer Applications	TY	6	Computer Networks
40	BCA	Computer Applications	TY	6	Data Structures
41	BCA	Computer Applications	TY	6	Python Programming
42	BCA	Computer Applications	TY	6	Surveying
43	BE	Artificial Intelligence & Machine Learning	FY	1	CAD/CAM
44	BE	Artificial Intelligence & Machine Learning	FY	1	Cloud Computing
45	BE	Artificial Intelligence & Machine Learning	FY	1	Cyber Security
46	BE	Artificial Intelligence & Machine Learning	FY	1	DBMS
47	BE	Artificial Intelligence & Machine Learning	FY	1	Electrical Machines
48	BE	Artificial Intelligence & Machine Learning	FY	1	Mathematics
49	BE	Artificial Intelligence & Machine Learning	FY	1	Physics
50	BE	Artificial Intelligence & Machine Learning	FY	2	CAD/CAM
51	BE	Artificial Intelligence & Machine Learning	FY	2	Digital Electronics
