id,program,department,year,semester,division,day,start_time,end_time,subject,faculty,room
1,Diploma,Computer Engineering,FY,1,A,Monday,09:00,10:00,Cloud Computing,Prof. Faculty 085,CO-126
2,Diploma,Computer Engineering,FY,1,A,Monday,10:00,11:00,AI Fundamentals,Prof. Faculty 179,CO-145
3,Diploma,Computer Engineering,FY,1,A,Monday,11:15,12:15,Thermodynamics,Prof. Faculty 250,CO-314
4,Diploma,Computer Engineering,FY,1,A,Monday,12:15,01:15,Digital Electronics,Prof. Faculty 230,CO-141
5,Diploma,Computer Engineering,FY,1,A,Monday,02:00,03:00,Software Engineering,Prof. Faculty 203,CO-184
6,Diploma,Computer Engineering,FY,1,A,Monday,03:00,04:00,Computer Networks,Prof. Faculty 006,CO-264
7,Diploma,Computer Engineering,FY,1,A,Tuesday,09:00,10:00,Digital Electronics,Prof. Faculty 146,CO-129
8,Diploma,Computer Engineering,FY,1,A,Tuesday,10:00,11:00,Physics,Prof. Faculty 243,CO-156
9,Diploma,Computer Engineering,FY,1,A,Tuesday,11:15,12:15,Computer Networks,Prof. Faculty 244,CO-146
10,Diploma,Computer Engineering,FY,1,A,Tuesday,12:15,01:15,Mathematics,Prof. Faculty 145,CO-159
11,Diploma,Computer Engineering,FY,1,A,Tuesday,02:00,03:00,Mathematics,Prof. Faculty 005,CO-164
12,Diploma,Computer Engineering,FY,1,A,Tuesday,03:00,04:00,Machine Learning,Prof. Faculty 194,CO-249
13,Diploma,Computer Engineering,FY,1,A,Wednesday,09:00,10:00,Python Programming,Prof. Faculty 002,CO-156
14,Diploma,Computer Engineering,FY,1,A,Wednesday,10:00,11:00,Project Lab,Prof. Faculty 169,CO-237
15,Diploma,Computer Engineering,FY,1,A,Wednesday,11:15,12:15,Web Development,Prof. Faculty 198,CO-232
16,Diploma,Computer Engineering,FY,1,A,Wednesday,12:15,01:15,Computer Networks,Prof. Faculty 187,CO-199
17,Diploma,Computer Engineering,FY,1,A,Wednesday,02:00,03:00,Python Programming,Prof. Faculty 185,CO-184
18,Diploma,Computer Engineering,FY,1,A,Wednesday,03:00,04:00,Software Engineering,Prof. Faculty 135,CO-144
19,Diploma,Computer Engineering,FY,1,A,Thursday,09:00,10:00,AI Fundamentals,Prof. Faculty 050,CO-128
20,Diploma,Computer Engineering,FY,1,A,Thursday,10:00,11:00,Python Programming,Prof. Faculty 154,CO-244
21,Diploma,Computer Engineering,FY,1,A,Thursday,11:15,12:15,AI Fundamentals,Prof. Faculty 053,CO-118
22,Diploma,Computer Engineering,FY,1,A,Thursday,12:15,01:15,Cyber Security,Prof. Faculty 223,CO-296
23,Diploma,Computer Engineering,FY,1,A,Thursday,02:00,03:00,AI Fundamentals,Prof. Faculty 165,CO-205
24,Diploma,Computer Engineering,FY,1,A,Thursday,03:00,04:00,Electrical Machines,Prof. Faculty 111,CO-259
25,Diploma,Computer Engineering,FY,1,A,Friday,09:00,10:00,CAD/CAM,Prof. Faculty 201,CO-320
26,Diploma,Computer Engineering,FY,1,A,Friday,10:00,11:00,Physics,Prof. Faculty 234,CO-278
27,Diploma,Computer Engineering,FY,1,A,Friday,11:15,12:15,Physics,Prof. Faculty 077,CO-280
28,Diploma,Computer Engineering,FY,1,A,Friday,12:15,01:15,Operating Systems,Prof. Faculty 135,CO-142
29,Diploma,Computer Engineering,FY,1,A,Friday,02:00,03:00,Software Engineering,Prof. Faculty 033,CO-189
30,Diploma,Computer Engineering,FY,1,A,Friday,03:00,04:00,Surveying,Prof. Faculty 242,CO-103
31,Diploma,Computer Engineering,FY,1,A,Saturday,09:00,10:00,Machine Learning,Prof. Faculty 092,CO-299
32,Diploma,Computer Engineering,FY,1,A,Saturday,10:00,11:00,DBMS,Prof. Faculty 086,CO-309
33,Diploma,Computer Engineering,FY,1,A,Saturday,11:15,12:15,Java Programming,Prof. Faculty 103,CO-234
34,Diploma,Computer Engineering,FY,1,A,Saturday,12:15,01:15,Electrical Machines,Prof. Faculty 150,CO-210
35,Diploma,Computer Engineering,FY,1,A,Saturday,02:00,03:00,Cloud Computing,Prof. Faculty 246,CO-167
36,Diploma,Computer Engineering,FY,1,A,Saturday,03:00,04:00,Project Lab,Prof. Faculty 209,CO-184
37,Diploma,Computer Engineering,FY,1,B,Monday,09:00,10:00,Software Engineering,Prof. Faculty 205,CO-192
38,Diploma,Computer Engineering,FY,1,B,Monday,10:00,11:00,Physics,Prof. Faculty 064,CO-285
39,Diploma,Computer Engineering,FY,1,B,Monday,11:15,12:15,Data Structures,Prof. Faculty 188,CO-111
40,Diploma,Computer Engineering,FY,1,B,Monday,12:15,01:15,Electrical Machines,Prof. Faculty 001,CO-213
41,Diploma,Computer Engineering,FY,1,B,Monday,02:00,03:00,Software Engineering,Prof. Faculty 103,CO-200
42,Diploma,Computer Engineering,FY,1,B,Monday,03:00,04:00,Electrical Machines,Prof. Faculty 047,CO-255
43,Diploma,Computer Engineering,FY,1,B,Tuesday,09:00,10:00,Data Structures,Prof. Faculty 170,CO-303
44,Diploma,Computer Engineering,FY,1,B,Tuesday,10:00,11:00,Cyber Security,Prof. Faculty 026,CO-174
45,Diploma,Computer Engineering,FY,1,B,Tuesday,11:15,12:15,Data Structures,Prof. Faculty 055,CO-171
46,Diploma,Computer Engineering,FY,1,B,Tuesday,12:15,01:15,Digital Electronics,Prof. Faculty 080,CO-109
47,Diploma,Computer Engineering,FY,1,B,Tuesday,02:00,03:00,Electrical Machines,Prof. Faculty 055,CO-311
48,Diploma,Computer Engineering,FY,1,B,Tuesday,03:00,04:00,Software Engineering,Prof. Faculty 092,CO-303
49,Diploma,Computer Engineering,FY,1,B,Wednesday,09:00,10:00,Electrical Machines,Prof. Faculty 175,CO-250
50,Diploma,Computer Engineering,FY,1,B,Wednesday,10:00,11:00,Computer Networks,Prof. Faculty 203,CO-191
51,Diploma,Computer Engineering,FY,1,B,Wednesday,11:15,12:15,AI Fundamentals,Prof. Faculty 140,CO-222
52,Diploma,Computer Engineering,FY,1,B,Wednesday,12:15,01:15,CAD/CAM,Prof. Faculty 024,CO-267
53,Diploma,Computer Engineering,FY,1,B,Wednesday,02:00,03:00,Project Lab,Prof. Faculty 243,CO-294
54,Diploma,Computer Engineering,FY,1,B,Wednesday,03:00,04:00,Operating Systems,Prof. Faculty 143,CO-277
55,Diploma,Computer Engineering,FY,1,B,Thursday,09:00,10:00,DBMS,Prof. Faculty 037,CO-147
56,Diploma,Computer Engineering,FY,1,B,Thursday,10:00,11:00,Surveying,Prof. Faculty 025,CO-153
57,Diploma,Computer Engineering,FY,1,B,Thursday,11:15,12:15,Project Lab,Prof. Faculty 084,CO-250
58,Diploma,Computer Engineering,FY,1,B,Thursday,12:15,01:15,Cloud Computing,Prof. Faculty 070,CO-243
59,Diploma,Computer Engineering,FY,1,B,Thursday,02:00,03:00,Project Lab,Prof. Faculty 245,CO-302
60,Diploma,Computer Engineering,FY,1,B,Thursday,03:00,04:00,CAD/CAM,Prof. Faculty 193,CO-146
61,Diploma,Computer Engineering,FY,1,B,Friday,09:00,10:00,Python Programming,Prof. Faculty 078,CO-136
62,Diploma,Computer Engineering,FY,1,B,Friday,10:00,11:00,AI Fundamentals,Prof. Faculty 108,CO-227
63,Diploma,Computer Engineering,FY,1,B,Friday,11:15,12:15,AI Fundamentals,Prof. Faculty 189,CO-115
64,Diploma,Computer Engineering,FY,1,B,Friday,12:15,01:15,Data Structures,Prof. Faculty 142,CO-128
65,Diploma,Computer Engineering,FY,1,B,Friday,02:00,03:00,Mathematics,Prof. Faculty 138,CO-133
66,Diploma,Computer Engineering,FY,1,B,Friday,03:00,04:00,Project Lab,Prof. Faculty 116,CO-283
67,Diploma,Computer Engineering,FY,1,B,Saturday,09:00,10:00,DBMS,Prof. Faculty 171,CO-127
68,Diploma,Computer Engineering,FY,1,B,Saturday,10:00,11:00,Java Programming,Prof. Faculty 140,CO-214
69,Diploma,Computer Engineering,FY,1,B,Saturday,11:15,12:15,Operating Systems,Prof. Faculty 015,CO-160
70,Diploma,Computer Engineering,FY,1,B,Saturday,12:15,01:15,Data Structures,Prof. Faculty 242,CO-212
