notice_id,title,category,department,program,priority,publish_date,expiry_date,description,attachment,status
N001,Cloud Computing Workshop,Workshop,Artificial Intelligence & Machine Learning,ME,Urgent,2026-04-17,2026-05-06,This notice is regarding cloud computing workshop. Students are requested to follow the instructions before the deadline.,notice_001.pdf,Active
N002,Innovation Seminar,Seminar,Computer Engineering,ME,Medium,2026-03-07,2026-03-16,This notice is regarding innovation seminar. Students are requested to follow the instructions before the deadline.,notice_002.pdf,Expired
N003,Music Night,Cultural,Electronics & Communication,Diploma,Urgent,2026-07-17,2026-08-28,This notice is regarding music night. Students are requested to follow the instructions before the deadline.,notice_003.pdf,Upcoming
N004,Mid Semester Exam,Examination,Electrical Engineering,BCA,Urgent,2026-03-15,2026-03-24,This notice is regarding mid semester exam. Students are requested to follow the instructions before the deadline.,notice_004.pdf,Expired
N005,Campus Drive,Placement,Electrical Engineering,All,Medium,2026-04-02,2026-04-17,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_005.pdf,Active
N006,Python Bootcamp,Workshop,Mechanical Engineering,BE,Medium,2026-02-24,2026-03-17,This notice is regarding python bootcamp. Students are requested to follow the instructions before the deadline.,notice_006.pdf,Expired
N007,Public Holiday,Holiday,Automobile Engineering,ME,Low,2026-04-15,2026-05-06,This notice is regarding public holiday. Students are requested to follow the instructions before the deadline.,notice_007.pdf,Active
N008,Semester Registration,Academic,Automobile Engineering,ME,Low,2026-03-10,2026-03-30,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_008.pdf,Expired
N009,Bus Pass Renewal,Administration,Electronics & Communication,BCA,Low,2026-03-13,2026-04-08,This notice is regarding bus pass renewal. Students are requested to follow the instructions before the deadline.,notice_009.pdf,Expired
N010,Bus Pass Renewal,Administration,Civil Engineering,ME,Low,2026-03-05,2026-03-12,This notice is regarding bus pass renewal. Students are requested to follow the instructions before the deadline.,notice_010.pdf,Upcoming
N011,Bus Pass Renewal,Administration,Information Technology,MCA,Low,2026-01-01,2026-02-03,This notice is regarding bus pass renewal. Students are requested to follow the instructions before the deadline.,notice_011.pdf,Active
N012,Fee Payment Reminder,Administration,Mechanical Engineering,ME,High,2026-01-08,2026-01-30,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_012.pdf,Upcoming
N013,Practical Examination,Examination,Artificial Intelligence & Machine Learning,All,Medium,2026-04-01,2026-04-26,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_013.pdf,Upcoming
N014,Exam Form Notice,Examination,Electrical Engineering,Diploma,Urgent,2026-02-27,2026-04-04,This notice is regarding exam form notice. Students are requested to follow the instructions before the deadline.,notice_014.pdf,Active
N015,Internship Opportunity,Placement,Computer Applications,All,Low,2026-02-19,2026-03-01,This notice is regarding internship opportunity. Students are requested to follow the instructions before the deadline.,notice_015.pdf,Active
N016,Campus Drive,Placement,Information Technology,ME,Urgent,2026-05-07,2026-06-08,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_016.pdf,Expired
N017,Mid Semester Exam,Examination,Automobile Engineering,All,Medium,2026-06-23,2026-08-02,This notice is regarding mid semester exam. Students are requested to follow the instructions before the deadline.,notice_017.pdf,Active
N018,Internship Opportunity,Placement,Information Technology,BE,Urgent,2026-01-11,2026-02-23,This notice is regarding internship opportunity. Students are requested to follow the instructions before the deadline.,notice_018.pdf,Active
N019,Cyber Security Session,Workshop,Civil Engineering,All,Urgent,2026-03-08,2026-03-31,This notice is regarding cyber security session. Students are requested to follow the instructions before the deadline.,notice_019.pdf,Expired
N020,Chess Competition,Sports,Data Science,MCA,Medium,2026-07-10,2026-08-14,This notice is regarding chess competition. Students are requested to follow the instructions before the deadline.,notice_020.pdf,Expired
N021,Assignment Submission,Academic,Computer Engineering,BE,Urgent,2026-05-31,2026-07-15,This notice is regarding assignment submission. Students are requested to follow the instructions before the deadline.,notice_021.pdf,Upcoming
