faq_id,category,question,answer,keywords
LF0001,Library,What are the library timings?,The Central Library is generally open during notified working hours. Please check the latest library notice for exact timings.,library
LF0002,Library,How many books can I issue?,The number of books depends on your program and library policy.,library
LF0003,Library,How do I issue a book?,Use your library ID and follow the issue procedure at the circulation desk.,library
LF0004,Library,How do I return a book?,Return the book before the due date at the library counter.,library
LF0005,Library,Can I renew a book?,"Yes, if renewal is allowed and the book is not reserved by another student.",library
LF0006,Library,Can I access e-books?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0007,Library,What is the fine for late return?,Digital resources may be available through the college library services.,"library,books,reading"
LF0008,Library,Can I use the reading room?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0009,Library,Is Wi-Fi available in the library?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0010,Library,Can alumni use the library?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0011,Library,How do I get a library card?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0012,Library,What if I lose a book?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0013,Library,What if I lose my library card?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0014,Library,Can I bring my own books?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0015,Library,Are group study rooms available?,Digital resources may be available through the college library services.,"library,books,reading"
LF0016,Library,Can I print documents?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0017,Library,How do I access journals?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0018,Library,Are newspapers available?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0019,Library,Can I borrow reference books?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0020,Library,What are the library rules?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0021,Library,Can I carry food inside?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0022,Library,Are laptops allowed?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0023,Library,How do I recommend a new book?,Digital resources may be available through the college library services.,"library,books,reading"
LF0024,Library,Can I access IEEE papers?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0025,Library,How many renewals are allowed?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0026,Library,Is silence mandatory?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0027,Library,Can faculty issue more books?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0028,Library,How do I check book availability?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0029,Library,What books are available for my department?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0030,Library,Can I use the library during exams?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0031,Library,Where is the library?,Digital resources may be available through the college library services.,"library,books,reading"
LF0032,Library,How do I search for a book?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0033,Library,Can I reserve a book?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0034,Library,Is there a digital library?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0035,Library,Are previous year papers available?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0036,Library,Can I access e-books?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0037,Library,What is the fine for late return?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0038,Library,Can I use the reading room?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0039,Library,Is Wi-Fi available in the library?,Digital resources may be available through the college library services.,"library,books,reading"
LF0040,Library,Can alumni use the library?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0041,Library,How do I get a library card?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0042,Library,What if I lose a book?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0043,Library,What if I lose my library card?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0044,Library,Can I bring my own books?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0045,Library,Are group study rooms available?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0046,Library,Can I print documents?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0047,Library,How do I access journals?,Digital resources may be available through the college library services.,"library,books,reading"
LF0048,Library,Are newspapers available?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0049,Library,Can I borrow reference books?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0050,Library,What are the library rules?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0051,Library,Can I carry food inside?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0052,Library,Are laptops allowed?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0053,Library,How do I recommend a new book?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0054,Library,Can I access IEEE papers?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0055,Library,How many renewals are allowed?,Digital resources may be available through the college library services.,"library,books,reading"
LF0056,Library,Is silence mandatory?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0057,Library,Can faculty issue more books?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0058,Library,How do I check book availability?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0059,Library,What books are available for my department?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0060,Library,Can I use the library during exams?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0061,Library,Where is the library?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0062,Library,How do I search for a book?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0063,Library,Can I reserve a book?,Digital resources may be available through the college library services.,"library,books,reading"
LF0064,Library,Is there a digital library?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0065,Library,Are previous year papers available?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0066,Library,Can I access e-books?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0067,Library,What is the fine for late return?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0068,Library,Can I use the reading room?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0069,Library,Is Wi-Fi available in the library?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0070,Library,Can alumni use the library?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0071,Library,How do I get a library card?,Digital resources may be available through the college library services.,"library,books,reading"
LF0072,Library,What if I lose a book?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0073,Library,What if I lose my library card?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0074,Library,Can I bring my own books?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0075,Library,Are group study rooms available?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0076,Library,Can I print documents?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0077,Library,How do I access journals?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0078,Library,Are newspapers available?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0079,Library,Can I borrow reference books?,Digital resources may be available through the college library services.,"library,books,reading"
LF0080,Library,What are the library rules?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0081,Library,Can I carry food inside?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0082,Library,Are laptops allowed?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0083,Library,How do I recommend a new book?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0084,Library,Can I access IEEE papers?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0085,Library,How many renewals are allowed?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0086,Library,Is silence mandatory?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0087,Library,Can faculty issue more books?,Digital resources may be available through the college library services.,"library,books,reading"
LF0088,Library,How do I check book availability?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0089,Library,What books are available for my department?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0090,Library,Can I use the library during exams?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0091,Library,Where is the library?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0092,Library,How do I search for a book?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0093,Library,Can I reserve a book?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0094,Library,Is there a digital library?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0095,Library,Are previous year papers available?,Digital resources may be available through the college library services.,"library,books,reading"
LF0096,Library,Can I access e-books?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0097,Library,What is the fine for late return?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0098,Library,Can I use the reading room?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0099,Library,Is Wi-Fi available in the library?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0100,Library,Can alumni use the library?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0101,Library,How do I get a library card?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0102,Library,What if I lose a book?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0103,Library,What if I lose my library card?,Digital resources may be available through the college library services.,"library,books,reading"
LF0104,Library,Can I bring my own books?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0105,Library,Are group study rooms available?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0106,Library,Can I print documents?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0107,Library,How do I access journals?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0108,Library,Are newspapers available?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0109,Library,Can I borrow reference books?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0110,Library,What are the library rules?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0111,Library,Can I carry food inside?,Digital resources may be available through the college library services.,"library,books,reading"
LF0112,Library,Are laptops allowed?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0113,Library,How do I recommend a new book?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0114,Library,Can I access IEEE papers?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0115,Library,How many renewals are allowed?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0116,Library,Is silence mandatory?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0117,Library,Can faculty issue more books?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0118,Library,How do I check book availability?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0119,Library,What books are available for my department?,Digital resources may be available through the college library services.,"library,books,reading"
LF0120,Library,Can I use the library during exams?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0121,Library,Where is the library?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0122,Library,How do I search for a book?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0123,Library,Can I reserve a book?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0124,Library,Is there a digital library?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0125,Library,Are previous year papers available?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0126,Library,Can I access e-books?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0127,Library,What is the fine for late return?,Digital resources may be available through the college library services.,"library,books,reading"
LF0128,Library,Can I use the reading room?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0129,Library,Is Wi-Fi available in the library?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0130,Library,Can alumni use the library?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0131,Library,How do I get a library card?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0132,Library,What if I lose a book?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0133,Library,What if I lose my library card?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0134,Library,Can I bring my own books?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0135,Library,Are group study rooms available?,Digital resources may be available through the college library services.,"library,books,reading"
LF0136,Library,Can I print documents?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0137,Library,How do I access journals?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0138,Library,Are newspapers available?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0139,Library,Can I borrow reference books?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0140,Library,What are the library rules?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0141,Library,Can I carry food inside?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0142,Library,Are laptops allowed?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0143,Library,How do I recommend a new book?,Digital resources may be available through the college library services.,"library,books,reading"
LF0144,Library,Can I access IEEE papers?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0145,Library,How many renewals are allowed?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0146,Library,Is silence mandatory?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0147,Library,Can faculty issue more books?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0148,Library,How do I check book availability?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0149,Library,What books are available for my department?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0150,Library,Can I use the library during exams?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0151,Library,Where is the library?,Digital resources may be available through the college library services.,"library,books,reading"
LF0152,Library,How do I search for a book?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0153,Library,Can I reserve a book?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0154,Library,Is there a digital library?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0155,Library,Are previous year papers available?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0156,Library,Can I access e-books?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
LF0157,Library,What is the fine for late return?,Please return books on time to avoid overdue fines.,"library,books,reading"
LF0158,Library,Can I use the reading room?,"The librarian can assist you with borrowing, renewing and locating books.","library,books,reading"
LF0159,Library,Is Wi-Fi available in the library?,Digital resources may be available through the college library services.,"library,books,reading"
LF0160,Library,Can alumni use the library?,Keep your library ID with you when using library facilities.,"library,books,reading"
LF0161,Library,How do I get a library card?,Please check the library portal or contact the librarian for the latest information.,"library,books,reading"
LF0162,Library,What if I lose a book?,"The Central Library provides books, journals and study resources for students.","library,books,reading"
LF0163,Library,What if I lose my library card?,Library services are subject to the college library rules and regulations.,"library,books,reading"
LF0164,Library,Can I bring my own books?,"You can search by title, author or subject in the library catalogue.","library,books,reading"
