event_id,event_name,category,department,program,event_date,start_time,end_time,venue,organizer,speaker_or_guest,registration_required,capacity,description,status
E001,Placement Drive,Placement,All,BCA,2026-06-26,10:00,05:00,Library Hall,CSI Student Chapter,Alumni,Yes,309,Placement Drive organized for students to enhance skills and participation.,Upcoming
E002,Robotics Competition,Technical,Computer Engineering,MCA,2026-09-16,11:00,04:00,Computer Lab 1,Innovation Club,Startup Founder,No,473,Robotics Competition organized for students to enhance skills and participation.,Upcoming
E003,Tree Plantation Drive,Social,Computer Engineering,All,2026-06-29,09:00,01:00,Campus Plaza,IEEE Student Branch,Startup Founder,No,324,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E004,Music Concert,Cultural,Computer Applications,ME,2026-06-09,11:00,01:00,Library Hall,IEEE Student Branch,Faculty,No,194,Music Concert organized for students to enhance skills and participation.,Completed
E005,Tree Plantation Drive,Social,Automobile Engineering,MCA,2026-10-10,09:00,12:00,Conference Hall,IEEE Student Branch,Guest Speaker,Yes,266,Tree Plantation Drive organized for students to enhance skills and participation.,Upcoming
E006,Prakarsh AI & Technology Fest,Technical,Automobile Engineering,BE,2026-05-20,11:00,01:00,Sports Complex,Department Faculty,Guest Speaker,Yes,364,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Upcoming
E007,Dance Competition,Cultural,Data Science,MCA,2026-10-07,02:00,05:00,Sports Complex,Department Faculty,Faculty,No,56,Dance Competition organized for students to enhance skills and participation.,Registration Open
E008,Sports Week,Sports,All,BCA,2026-07-06,10:00,12:00,Campus Plaza,IEEE Student Branch,Startup Founder,No,338,Sports Week organized for students to enhance skills and participation.,Completed
E009,Hackathon 36 Hours,Technical,All,BCA,2026-09-06,10:00,04:00,AI Lab,Department Faculty,Faculty,No,327,Hackathon 36 Hours organized for students to enhance skills and participation.,Completed
E010,Prakarsh AI & Technology Fest,Technical,Computer Applications,MCA,2026-08-29,10:00,01:00,Computer Lab 1,Cultural Committee,Guest Speaker,Yes,126,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Registration Open
E011,Startup Expo,Entrepreneurship,Information Technology,BCA,2026-10-26,02:00,01:00,Main Auditorium,Sports Committee,Faculty,Yes,237,Startup Expo organized for students to enhance skills and participation.,Completed
E012,Robotics Competition,Technical,Data Science,ME,2026-10-29,10:00,05:00,Sports Complex,Sports Committee,Faculty,Yes,139,Robotics Competition organized for students to enhance skills and participation.,Registration Open
E013,Football League,Sports,Electronics & Communication,All,2026-01-10,02:00,12:00,Seminar Hall,Sports Committee,Guest Speaker,No,355,Football League organized for students to enhance skills and participation.,Completed
E014,Industry Expert Talk,Seminar,Computer Engineering,Diploma,2026-06-07,02:00,04:00,Conference Hall,Training & Placement Cell,Guest Speaker,Yes,349,Industry Expert Talk organized for students to enhance skills and participation.,Registration Open
E015,Alumni Meet,Networking,All,BCA,2026-10-31,10:00,05:00,Library Hall,Training & Placement Cell,Faculty,Yes,399,Alumni Meet organized for students to enhance skills and participation.,Upcoming
E016,Blood Donation Camp,Social,Electronics & Communication,ME,2026-03-08,11:00,04:00,Seminar Hall,Innovation Club,Industry Expert,Yes,138,Blood Donation Camp organized for students to enhance skills and participation.,Upcoming
E017,Python Bootcamp,Workshop,Mechanical Engineering,ME,2026-03-12,09:00,01:00,Library Hall,Innovation Club,Guest Speaker,No,278,Python Bootcamp organized for students to enhance skills and participation.,Registration Open
E018,Prakarsh AI & Technology Fest,Technical,Computer Engineering,BE,2026-01-02,02:00,05:00,Sports Complex,Department Faculty,Industry Expert,Yes,86,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Registration Open
E019,Python Bootcamp,Workshop,Civil Engineering,All,2026-02-05,09:00,04:00,Library Hall,Innovation Club,Alumni,Yes,478,Python Bootcamp organized for students to enhance skills and participation.,Completed
E020,Hackathon 36 Hours,Technical,Civil Engineering,Diploma,2026-10-15,02:00,12:00,Library Hall,Cultural Committee,Industry Expert,No,451,Hackathon 36 Hours organized for students to enhance skills and participation.,Upcoming
E021,Blood Donation Camp,Social,Civil Engineering,All,2026-04-17,02:00,12:00,Innovation Center,CSI Student Chapter,Alumni,No,445,Blood Donation Camp organized for students to enhance skills and participation.,Registration Open
E022,Placement Drive,Placement,Civil Engineering,BE,2026-03-19,11:00,04:00,Conference Hall,CSI Student Chapter,Industry Expert,No,132,Placement Drive organized for students to enhance skills and participation.,Registration Open
E023,Badminton Championship,Sports,Electronics & Communication,ME,2026-07-19,11:00,12:00,Seminar Hall,Innovation Club,Alumni,No,135,Badminton Championship organized for students to enhance skills and participation.,Upcoming
E024,Music Concert,Cultural,Electronics & Communication,Diploma,2026-07-05,09:00,01:00,Campus Plaza,Sports Committee,Startup Founder,Yes,138,Music Concert organized for students to enhance skills and participation.,Registration Open
E025,Startup Expo,Entrepreneurship,Artificial Intelligence & Machine Learning,BE,2026-05-17,09:00,01:00,Seminar Hall,Department Faculty,Faculty,No,339,Startup Expo organized for students to enhance skills and participation.,Upcoming
E026,Alumni Meet,Networking,Artificial Intelligence & Machine Learning,All,2026-01-13,10:00,01:00,Library Hall,Cultural Committee,Industry Expert,No,453,Alumni Meet organized for students to enhance skills and participation.,Registration Open
E027,Malhar Cultural Fest,Cultural,Civil Engineering,BE,2026-04-28,09:00,01:00,AI Lab,Department Faculty,Startup Founder,No,103,Malhar Cultural Fest organized for students to enhance skills and participation.,Registration Open
