faq_id,category,question,answer,keywords
AC0001,Academics,What is the academic calendar?,"The academic calendar contains semester schedules, holidays, examinations and important academic dates.",academics
AC0002,Academics,How many semesters are there in a Diploma program?,A Diploma program is generally divided into six semesters over three years.,academics
AC0003,Academics,How many semesters are there in a BE program?,A BE program is generally divided into eight semesters over four years.,academics
AC0004,Academics,How do I access my timetable?,You can view your timetable through the student portal or ask the AI Assistant.,academics
AC0005,Academics,What subjects are offered this semester?,"Subjects depend on your program, department and semester.",academics
AC0006,Academics,Where can I find study materials?,"Assessment usually includes theory, practical work and internal evaluation where applicable.","academics,semester,study"
AC0007,Academics,What are elective subjects?,Please contact your HOD or faculty advisor for personalized academic guidance.,"academics,semester,study"
AC0008,Academics,How do practical sessions work?,Keep checking academic notices for updated schedules and announcements.,"academics,semester,study"
AC0009,Academics,What is internal assessment?,Please refer to your department's academic guidelines for the latest information.,"academics,semester,study"
AC0010,Academics,How many internal exams are conducted?,You can check the student portal or contact your department office.,"academics,semester,study"
AC0011,Academics,How do I improve my academic performance?,Academic rules may vary by program and semester.,"academics,semester,study"
AC0012,Academics,How do I contact my faculty?,Your faculty and department can guide you regarding academic requirements.,"academics,semester,study"
AC0013,Academics,Where can I find previous papers?,"The syllabus, timetable and notices are available through official college resources.","academics,semester,study"
AC0014,Academics,How are labs scheduled?,"Assessment usually includes theory, practical work and internal evaluation where applicable.","academics,semester,study"
AC0015,Academics,Can I change my elective?,Please contact your HOD or faculty advisor for personalized academic guidance.,"academics,semester,study"
AC0016,Academics,What happens if I fail a subject?,Keep checking academic notices for updated schedules and announcements.,"academics,semester,study"
AC0017,Academics,How do backlog subjects work?,Please refer to your department's academic guidelines for the latest information.,"academics,semester,study"
AC0018,Academics,When does the semester begin?,You can check the student portal or contact your department office.,"academics,semester,study"
AC0019,Academics,How do I know my classroom?,Academic rules may vary by program and semester.,"academics,semester,study"
AC0020,Academics,How are project subjects evaluated?,Your faculty and department can guide you regarding academic requirements.,"academics,semester,study"
AC0021,Academics,What are the passing marks?,"The syllabus, timetable and notices are available through official college resources.","academics,semester,study"
AC0022,Academics,Can I repeat a semester?,"Assessment usually includes theory, practical work and internal evaluation where applicable.","academics,semester,study"
AC0023,Academics,How are credits transferred?,Please contact your HOD or faculty advisor for personalized academic guidance.,"academics,semester,study"
AC0024,Academics,What is continuous assessment?,Keep checking academic notices for updated schedules and announcements.,"academics,semester,study"
AC0025,Academics,How can I prepare for practical exams?,Please refer to your department's academic guidelines for the latest information.,"academics,semester,study"
AC0026,Academics,What is the semester system?,You can check the student portal or contact your department office.,"academics,semester,study"
AC0027,Academics,How are credits calculated?,Academic rules may vary by program and semester.,"academics,semester,study"
