subject_id,program,department,year,semester,subject_code,subject_name,subject_type,credits
S0001,Diploma,Computer Engineering,FY,1,DICO101,Programming Fundamentals,Theory,4
S0002,Diploma,Computer Engineering,FY,1,DICO102,Python Programming,Theory,4
S0003,Diploma,Computer Engineering,FY,1,DICO103,Data Structures,Theory,4
S0004,Diploma,Computer Engineering,FY,1,DICO104,DBMS,Practical,2
S0005,Diploma,Computer Engineering,FY,1,DICO105,Computer Networks,Practical,2
S0006,Diploma,Computer Engineering,FY,2,DICO201,Programming Fundamentals,Theory,4
S0007,Diploma,Computer Engineering,FY,2,DICO202,Python Programming,Theory,4
S0008,Diploma,Computer Engineering,FY,2,DICO203,Data Structures,Theory,4
S0009,Diploma,Computer Engineering,FY,2,DICO204,DBMS,Practical,2
S0010,Diploma,Computer Engineering,FY,2,DICO205,Computer Networks,Practical,2
S0011,Diploma,Computer Engineering,SY,3,DICO301,Programming Fundamentals,Theory,4
S0012,Diploma,Computer Engineering,SY,3,DICO302,Python Programming,Theory,4
S0013,Diploma,Computer Engineering,SY,3,DICO303,Data Structures,Theory,4
S0014,Diploma,Computer Engineering,SY,3,DICO304,DBMS,Practical,2
S0015,Diploma,Computer Engineering,SY,3,DICO305,Computer Networks,Practical,2
S0016,Diploma,Computer Engineering,SY,4,DICO401,Programming Fundamentals,Theory,4
S0017,Diploma,Computer Engineering,SY,4,DICO402,Python Programming,Theory,4
S0018,Diploma,Computer Engineering,SY,4,DICO403,Data Structures,Theory,4
S0019,Diploma,Computer Engineering,SY,4,DICO404,DBMS,Practical,2
S0020,Diploma,Computer Engineering,SY,4,DICO405,Computer Networks,Practical,2
S0021,Diploma,Computer Engineering,TY,5,DICO501,Programming Fundamentals,Theory,4
S0022,Diploma,Computer Engineering,TY,5,DICO502,Python Programming,Theory,4
S0023,Diploma,Computer Engineering,TY,5,DICO503,Data Structures,Theory,4
S0024,Diploma,Computer Engineering,TY,5,DICO504,DBMS,Practical,2
S0025,Diploma,Computer Engineering,TY,5,DICO505,Computer Networks,Practical,2
S0026,Diploma,Computer Engineering,TY,6,DICO601,Programming Fundamentals,Theory,4
S0027,Diploma,Computer Engineering,TY,6,DICO602,Python Programming,Theory,4
S0028,Diploma,Computer Engineering,TY,6,DICO603,Data Structures,Theory,4
S0029,Diploma,Computer Engineering,TY,6,DICO604,DBMS,Practical,2
S0030,Diploma,Computer Engineering,TY,6,DICO605,Computer Networks,Practical,2
S0031,Diploma,Civil Engineering,FY,1,DICI101,Engineering Mechanics,Theory,4
S0032,Diploma,Civil Engineering,FY,1,DICI102,Surveying,Theory,4
S0033,Diploma,Civil Engineering,FY,1,DICI103,Concrete Technology,Theory,4
S0034,Diploma,Civil Engineering,FY,1,DICI104,Transportation Engineering,Practical,2
S0035,Diploma,Civil Engineering,FY,1,DICI105,Structural Analysis,Practical,2
S0036,Diploma,Civil Engineering,FY,2,DICI201,Engineering Mechanics,Theory,4
S0037,Diploma,Civil Engineering,FY,2,DICI202,Surveying,Theory,4
S0038,Diploma,Civil Engineering,FY,2,DICI203,Concrete Technology,Theory,4
S0039,Diploma,Civil Engineering,FY,2,DICI204,Transportation Engineering,Practical,2
S0040,Diploma,Civil Engineering,FY,2,DICI205,Structural Analysis,Practical,2
S0041,Diploma,Civil Engineering,SY,3,DICI301,Engineering Mechanics,Theory,4
S0042,Diploma,Civil Engineering,SY,3,DICI302,Surveying,Theory,4
S0043,Diploma,Civil Engineering,SY,3,DICI303,Concrete Technology,Theory,4
S0044,Diploma,Civil Engineering,SY,3,DICI304,Transportation Engineering,Practical,2
S0045,Diploma,Civil Engineering,SY,3,DICI305,Structural Analysis,Practical,2
S0046,Diploma,Civil Engineering,SY,4,DICI401,Engineering Mechanics,Theory,4
S0047,Diploma,Civil Engineering,SY,4,DICI402,Surveying,Theory,4
S0048,Diploma,Civil Engineering,SY,4,DICI403,Concrete Technology,Theory,4
S0049,Diploma,Civil Engineering,SY,4,DICI404,Transportation Engineering,Practical,2
S0050,Diploma,Civil Engineering,SY,4,DICI405,Structural Analysis,Practical,2
S0051,Diploma,Civil Engineering,TY,5,DICI501,Engineering Mechanics,Theory,4
S0052,Diploma,Civil Engineering,TY,5,DICI502,Surveying,Theory,4
S0053,Diploma,Civil Engineering,TY,5,DICI503,Concrete Technology,Theory,4
S0054,Diploma,Civil Engineering,TY,5,DICI504,Transportation Engineering,Practical,2
S0055,Diploma,Civil Engineering,TY,5,DICI505,Structural Analysis,Practical,2
S0056,Diploma,Civil Engineering,TY,6,DICI601,Engineering Mechanics,Theory,4
S0057,Diploma,Civil Engineering,TY,6,DICI602,Surveying,Theory,4
S0058,Diploma,Civil Engineering,TY,6,DICI603,Concrete Technology,Theory,4
S0059,Diploma,Civil Engineering,TY,6,DICI604,Transportation Engineering,Practical,2
S0060,Diploma,Civil Engineering,TY,6,DICI605,Structural Analysis,Practical,2
S0061,Diploma,Mechanical Engineering,FY,1,DIME101,Engineering Drawing,Theory,4
S0062,Diploma,Mechanical Engineering,FY,1,DIME102,Thermodynamics,Theory,4
S0063,Diploma,Mechanical Engineering,FY,1,DIME103,Fluid Mechanics,Theory,4
S0064,Diploma,Mechanical Engineering,FY,1,DIME104,CAD/CAM,Practical,2
S0065,Diploma,Mechanical Engineering,FY,1,DIME105,Manufacturing Technology,Practical,2
S0066,Diploma,Mechanical Engineering,FY,2,DIME201,Engineering Drawing,Theory,4
S0067,Diploma,Mechanical Engineering,FY,2,DIME202,Thermodynamics,Theory,4
S0068,Diploma,Mechanical Engineering,FY,2,DIME203,Fluid Mechanics,Theory,4
S0069,Diploma,Mechanical Engineering,FY,2,DIME204,CAD/CAM,Practical,2
S0070,Diploma,Mechanical Engineering,FY,2,DIME205,Manufacturing Technology,Practical,2
S0071,Diploma,Mechanical Engineering,SY,3,DIME301,Engineering Drawing,Theory,4
S0072,Diploma,Mechanical Engineering,SY,3,DIME302,Thermodynamics,Theory,4
S0073,Diploma,Mechanical Engineering,SY,3,DIME303,Fluid Mechanics,Theory,4
S0074,Diploma,Mechanical Engineering,SY,3,DIME304,CAD/CAM,Practical,2
S0075,Diploma,Mechanical Engineering,SY,3,DIME305,Manufacturing Technology,Practical,2
S0076,Diploma,Mechanical Engineering,SY,4,DIME401,Engineering Drawing,Theory,4
S0077,Diploma,Mechanical Engineering,SY,4,DIME402,Thermodynamics,Theory,4
S0078,Diploma,Mechanical Engineering,SY,4,DIME403,Fluid Mechanics,Theory,4
S0079,Diploma,Mechanical Engineering,SY,4,DIME404,CAD/CAM,Practical,2
S0080,Diploma,Mechanical Engineering,SY,4,DIME405,Manufacturing Technology,Practical,2
S0081,Diploma,Mechanical Engineering,TY,5,DIME501,Engineering Drawing,Theory,4
S0082,Diploma,Mechanical Engineering,TY,5,DIME502,Thermodynamics,Theory,4
S0083,Diploma,Mechanical Engineering,TY,5,DIME503,Fluid Mechanics,Theory,4
S0084,Diploma,Mechanical Engineering,TY,5,DIME504,CAD/CAM,Practical,2
S0085,Diploma,Mechanical Engineering,TY,5,DIME505,Manufacturing Technology,Practical,2
S0086,Diploma,Mechanical Engineering,TY,6,DIME601,Engineering Drawing,Theory,4
S0087,Diploma,Mechanical Engineering,TY,6,DIME602,Thermodynamics,Theory,4
S0088,Diploma,Mechanical Engineering,TY,6,DIME603,Fluid Mechanics,Theory,4
S0089,Diploma,Mechanical Engineering,TY,6,DIME604,CAD/CAM,Practical,2
S0090,Diploma,Mechanical Engineering,TY,6,DIME605,Manufacturing Technology,Practical,2
S0091,Diploma,Electrical Engineering,FY,1,DIEL101,Basic Electrical,Theory,4
S0092,Diploma,Electrical Engineering,FY,1,DIEL102,Electrical Machines,Theory,4
S0093,Diploma,Electrical Engineering,FY,1,DIEL103,Power Systems,Theory,4
S0094,Diploma,Electrical Engineering,FY,1,DIEL104,Control Systems,Practical,2
S0095,Diploma,Electrical Engineering,FY,1,DIEL105,Power Electronics,Practical,2
S0096,Diploma,Electrical Engineering,FY,2,DIEL201,Basic Electrical,Theory,4
S0097,Diploma,Electrical Engineering,FY,2,DIEL202,Electrical Machines,Theory,4
S0098,Diploma,Electrical Engineering,FY,2,DIEL203,Power Systems,Theory,4
S0099,Diploma,Electrical Engineering,FY,2,DIEL204,Control Systems,Practical,2
S0100,Diploma,Electrical Engineering,FY,2,DIEL205,Power Electronics,Practical,2
S0101,Diploma,Electrical Engineering,SY,3,DIEL301,Basic Electrical,Theory,4
S0102,Diploma,Electrical Engineering,SY,3,DIEL302,Electrical Machines,Theory,4
S0103,Diploma,Electrical Engineering,SY,3,DIEL303,Power Systems,Theory,4
S0104,Diploma,Electrical Engineering,SY,3,DIEL304,Control Systems,Practical,2
S0105,Diploma,Electrical Engineering,SY,3,DIEL305,Power Electronics,Practical,2
S0106,Diploma,Electrical Engineering,SY,4,DIEL401,Basic Electrical,Theory,4
S0107,Diploma,Electrical Engineering,SY,4,DIEL402,Electrical Machines,Theory,4
S0108,Diploma,Electrical Engineering,SY,4,DIEL403,Power Systems,Theory,4
S0109,Diploma,Electrical Engineering,SY,4,DIEL404,Control Systems,Practical,2
S0110,Diploma,Electrical Engineering,SY,4,DIEL405,Power Electronics,Practical,2
S0111,Diploma,Electrical Engineering,TY,5,DIEL501,Basic Electrical,Theory,4
S0112,Diploma,Electrical Engineering,TY,5,DIEL502,Electrical Machines,Theory,4
S0113,Diploma,Electrical Engineering,TY,5,DIEL503,Power Systems,Theory,4
S0114,Diploma,Electrical Engineering,TY,5,DIEL504,Control Systems,Practical,2
S0115,Diploma,Electrical Engineering,TY,5,DIEL505,Power Electronics,Practical,2
S0116,Diploma,Electrical Engineering,TY,6,DIEL601,Basic Electrical,Theory,4
S0117,Diploma,Electrical Engineering,TY,6,DIEL602,Electrical Machines,Theory,4
S0118,Diploma,Electrical Engineering,TY,6,DIEL603,Power Systems,Theory,4
S0119,Diploma,Electrical Engineering,TY,6,DIEL604,Control Systems,Practical,2
S0120,Diploma,Electrical Engineering,TY,6,DIEL605,Power Electronics,Practical,2
S0121,Diploma,Information Technology,FY,1,DIIN101,Web Development,Theory,4
S0122,Diploma,Information Technology,FY,1,DIIN102,Cloud Computing,Theory,4
S0123,Diploma,Information Technology,FY,1,DIIN103,Cyber Security,Theory,4
S0124,Diploma,Information Technology,FY,1,DIIN104,Java Programming,Practical,2
S0125,Diploma,Information Technology,FY,1,DIIN105,Software Engineering,Practical,2
S0126,Diploma,Information Technology,FY,2,DIIN201,Web Development,Theory,4
S0127,Diploma,Information Technology,FY,2,DIIN202,Cloud Computing,Theory,4
