faq_id,category,question,answer,keywords
CF0001,Canteen,What are the canteen timings?,The college canteen is generally open during working hours. Please check the latest schedule for exact timings.,canteen
CF0002,Canteen,Where is the canteen located?,The main canteen is located in the Canteen Block on campus.,canteen
CF0003,Canteen,What food is available?,"The canteen offers snacks, beverages, meals, pizza, sandwiches, South Indian food and more.",canteen
CF0004,Canteen,Can I pay online?,Digital payment options may be available at selected outlets.,canteen
CF0005,Canteen,Is vegetarian food available?,"Yes, a variety of vegetarian food options are available.",canteen
CF0006,Canteen,Where can I get pizza?,The canteen follows campus hygiene and food safety guidelines.,"canteen,food,menu"
CF0007,Canteen,Does Shiv Vadapav accept UPI?,"For special requests or feedback, please contact the canteen management.","canteen,food,menu"
CF0008,Canteen,Are healthy food options available?,"Popular outlets include Nescafe Corner, Shiv Vadapav and Pizza Hub.","canteen,food,menu"
CF0009,Canteen,Can I pre-order food?,Please check the canteen notice board or ask the respective food outlet for the latest menu.,"canteen,food,menu"
CF0010,Canteen,Are cold drinks available?,The canteen offers multiple food outlets with a variety of snacks and meals.,"canteen,food,menu"
CF0011,Canteen,Do you sell juices?,Food availability may vary depending on the time of day.,"canteen,food,menu"
CF0012,Canteen,Is outside food allowed?,You can visit the canteen during operating hours for fresh meals and beverages.,"canteen,food,menu"
CF0013,Canteen,Can I sit inside the canteen?,Digital payment methods are accepted at many outlets.,"canteen,food,menu"
CF0014,Canteen,Is drinking water available?,The canteen follows campus hygiene and food safety guidelines.,"canteen,food,menu"
CF0015,Canteen,Are combo meals available?,"For special requests or feedback, please contact the canteen management.","canteen,food,menu"
CF0016,Canteen,What snacks are available?,"Popular outlets include Nescafe Corner, Shiv Vadapav and Pizza Hub.","canteen,food,menu"
CF0017,Canteen,Do you serve Jain food?,Please check the canteen notice board or ask the respective food outlet for the latest menu.,"canteen,food,menu"
CF0018,Canteen,Is the food hygienic?,The canteen offers multiple food outlets with a variety of snacks and meals.,"canteen,food,menu"
CF0019,Canteen,Can faculty use the canteen?,Food availability may vary depending on the time of day.,"canteen,food,menu"
