faq_id,category,question,answer,keywords
G0001,Greeting,Hi,Hello! I'm SVIT AI Assistant. How can I help you today?,greeting
G0002,Greeting,Hello,Hello! Welcome to SVIT AI Assistant. What can I help you with?,greeting
G0003,Greeting,Hey,Hey! Ask me anything about SVIT College.,greeting
G0004,Greeting,Good Morning,Good morning! Hope you have a great day. How can I assist you?,greeting
G0005,Greeting,Good Afternoon,Good afternoon! What would you like to know?,greeting
G0006,Greeting,Good Evening,Good evening! I'm here to help.,greeting
G0007,Greeting,Good Night,Good night! Feel free to ask anything before you go.,greeting
G0008,Greeting,How are you?,I'm doing great! Thanks for asking. How can I help you?,greeting
G0009,Greeting,Who are you?,"I'm SVIT AI Assistant, your smart college assistant.",greeting
G0010,Greeting,What can you do?,"I can answer questions about faculty, timetable, library, placements, events, notices and more.",greeting
G0011,Greeting,kem cho,Hello! I'm SVIT AI Assistant. How can I assist you today?,"hi,hello,greeting"
G0012,Greeting,yo,Hi! Welcome to SVIT. Ask me anything about college.,"hi,hello,greeting"
G0013,Greeting,hola,Greetings! I'm ready to help with college information.,"hi,hello,greeting"
G0014,Greeting,sup,"Hello! You can ask me about faculty, timetable, library, placements, notices, events and transport.","hi,hello,greeting"
G0015,Greeting,greetings,Hi there! What would you like to know today?,"hi,hello,greeting"
G0016,Greeting,howdy,Hello! I'm SVIT AI Assistant. How can I assist you today?,"hi,hello,greeting"
G0017,Greeting,hi bot,Hi! Welcome to SVIT. Ask me anything about college.,"hi,hello,greeting"
G0018,Greeting,hello bot,Greetings! I'm ready to help with college information.,"hi,hello,greeting"
G0019,Greeting,assist me,"Hello! You can ask me about faculty, timetable, library, placements, notices, events and transport.","hi,hello,greeting"
G0020,Greeting,need help,Hi there! What would you like to know today?,"hi,hello,greeting"
G0021,Greeting,hi,Hello! I'm SVIT AI Assistant. How can I assist you today?,"hi,hello,greeting"
G0022,Greeting,hello,Hi! Welcome to SVIT. Ask me anything about college.,"hi,hello,greeting"
G0023,Greeting,hey,Greetings! I'm ready to help with college information.,"hi,hello,greeting"
G0024,Greeting,hii,"Hello! You can ask me about faculty, timetable, library, placements, notices, events and transport.","hi,hello,greeting"
G0025,Greeting,hello there,Hi there! What would you like to know today?,"hi,hello,greeting"
G0026,Greeting,good morning,Hello! I'm SVIT AI Assistant. How can I assist you today?,"hi,hello,greeting"
G0027,Greeting,good afternoon,Hi! Welcome to SVIT. Ask me anything about college.,"hi,hello,greeting"
G0028,Greeting,good evening,Greetings! I'm ready to help with college information.,"hi,hello,greeting"
G0029,Greeting,good night,"Hello! You can ask me about faculty, timetable, library, placements, notices, events and transport.","hi,hello,greeting"
G0030,Greeting,namaste,Hi there! What would you like to know today?,"hi,hello,greeting"
