faq_id,category,question,answer,keywords
GF0001,General,What is SVIT?,"SVIT is an engineering and technology institute offering Diploma, BE, ME, MCA and BCA programs.",general
GF0002,General,Where is SVIT located?,"SVIT is located at Vasad, Gujarat.",general
GF0003,General,How can I contact the college?,You can use the Contact section or ask for a specific department.,general
GF0004,General,What courses are available?,"SVIT offers Diploma, BE, ME, MCA and BCA programs.",general
GF0005,General,Where is the library?,The library is located in the Central Library building.,general
GF0006,General,How do I check my timetable?,"Ask for your program, department and semester timetable.",general
GF0007,General,How can I find a faculty member?,Ask for the faculty name or subject.,general
GF0008,General,Where is the placement cell?,The Training & Placement Cell assists students with internships and placements.,general
GF0009,General,How do I find bus routes?,Ask for your pickup area or route number.,general
GF0010,General,How can I know about events?,Ask for upcoming events or a specific event.,general
GF0011,Canteen,Where is the canteen?,Visit the respective office during working hours for assistance.,"college,faq"
GF0012,Events,How do I register for events?,The information depends on your program and semester.,"college,faq"
GF0013,Notices,What is the attendance policy?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0014,Scholarships,How do I apply for scholarships?,You can find the latest information through the college administration.,"college,faq"
GF0015,Campus,What are placement eligibility criteria?,"I can help you with department, faculty, library, timetable, notices and more.","college,faq"
GF0016,Contact,How do I update my profile?,Please ensure you follow the official college procedures and deadlines.,"college,faq"
GF0017,General,Can I change my department?,Visit the respective office during working hours for assistance.,"college,faq"
GF0018,Admissions,Where is the AI lab?,The information depends on your program and semester.,"college,faq"
GF0019,Academics,How do I meet faculty?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0020,Departments,Where is the principal office?,You can find the latest information through the college administration.,"college,faq"
GF0021,Faculty,What are the college timings?,"I can help you with department, faculty, library, timetable, notices and more.","college,faq"
GF0022,Library,How do I apply for admission?,Please ensure you follow the official college procedures and deadlines.,"college,faq"
GF0023,Timetable,Which documents are required?,Visit the respective office during working hours for assistance.,"college,faq"
GF0024,Examination,What is the fee structure?,The information depends on your program and semester.,"college,faq"
GF0025,Placements,How do I borrow library books?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0026,Transport,How many books can I issue?,You can find the latest information through the college administration.,"college,faq"
GF0027,Canteen,When do exams start?,"I can help you with department, faculty, library, timetable, notices and more.","college,faq"
GF0028,Events,How do I check notices?,Please ensure you follow the official college procedures and deadlines.,"college,faq"
GF0029,Notices,How do I contact HOD?,Visit the respective office during working hours for assistance.,"college,faq"
GF0030,Scholarships,Is Wi-Fi available?,The information depends on your program and semester.,"college,faq"
GF0031,Campus,Where is the canteen?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0032,Contact,How do I register for events?,You can find the latest information through the college administration.,"college,faq"
GF0033,General,What is the attendance policy?,"I can help you with department, faculty, library, timetable, notices and more.","college,faq"
GF0034,Admissions,How do I apply for scholarships?,Please ensure you follow the official college procedures and deadlines.,"college,faq"
GF0035,Academics,What are placement eligibility criteria?,Visit the respective office during working hours for assistance.,"college,faq"
GF0036,Departments,How do I update my profile?,The information depends on your program and semester.,"college,faq"
GF0037,Faculty,Can I change my department?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0038,Library,Where is the AI lab?,You can find the latest information through the college administration.,"college,faq"
GF0039,Timetable,How do I meet faculty?,"I can help you with department, faculty, library, timetable, notices and more.","college,faq"
GF0040,Examination,Where is the principal office?,Please ensure you follow the official college procedures and deadlines.,"college,faq"
GF0041,Placements,What are the college timings?,Visit the respective office during working hours for assistance.,"college,faq"
GF0042,Transport,How do I apply for admission?,The information depends on your program and semester.,"college,faq"
GF0043,Canteen,Which documents are required?,Please refer to the relevant department or ask me for specific details.,"college,faq"
GF0044,Events,What is the fee structure?,You can find the latest information through the college administration.,"college,faq"
