placement_id,company_name,program,department,job_role,package_lpa,location,drive_date,eligibility,vacancies,skills_required,registration_deadline,contact_email,status
P001,Siemens,ME,Information Technology,Mechanical Engineer,17.9,Hyderabad,2026-10-20,"60% throughout, No active backlogs",50,"Python, SQL, DSA",2026-10-08,placement1@svit.edu.in,Upcoming
P002,Microsoft,BCA,Data Science,Electrical Engineer,11.0,Surat,2026-04-01,"60% throughout, No active backlogs",35,"AutoCAD, Design",2026-03-26,placement2@svit.edu.in,Upcoming
P003,Cognizant,MCA,Automobile Engineering,Software Engineer,13.7,Hyderabad,2026-11-18,"60% throughout, No active backlogs",115,"Java, OOP, DBMS",2026-11-12,placement3@svit.edu.in,Upcoming
P004,Siemens,ME,Electrical Engineering,Business Analyst,15.9,Ahmedabad,2026-10-08,"70% throughout, No active backlogs",10,"C++, Algorithms",2026-09-30,placement4@svit.edu.in,Upcoming
P005,IBM,MCA,Mechanical Engineering,QA Engineer,11.5,Mumbai,2026-11-16,"65% throughout, No active backlogs",103,"Java, OOP, DBMS",2026-11-12,placement5@svit.edu.in,Completed
P006,Google,Diploma,Data Science,QA Engineer,15.3,Mumbai,2026-11-11,"60% throughout, No active backlogs",25,"Python, SQL, DSA",2026-10-28,placement6@svit.edu.in,Completed
P007,Oracle,BCA,Information Technology,Graduate Engineer Trainee,15.2,Hyderabad,2026-03-15,"65% throughout, No active backlogs",89,"Java, OOP, DBMS",2026-03-09,placement7@svit.edu.in,Upcoming
P008,Wipro,ME,Civil Engineering,Network Engineer,14.7,Bengaluru,2026-10-04,"60% throughout, No active backlogs",52,"Java, OOP, DBMS",2026-09-23,placement8@svit.edu.in,Upcoming
P009,Capgemini,BE,Artificial Intelligence & Machine Learning,Electrical Engineer,5.0,Gandhinagar,2026-07-31,"60% throughout, No active backlogs",25,"Communication Skills, Aptitude",2026-07-24,placement9@svit.edu.in,Upcoming
P010,NVIDIA,BE,Artificial Intelligence & Machine Learning,QA Engineer,12.8,Gandhinagar,2026-02-01,"60% throughout, No active backlogs",67,"Java, OOP, DBMS",2026-01-29,placement10@svit.edu.in,Registration Open
P011,NVIDIA,ME,Data Science,Full Stack Developer,8.7,Mumbai,2026-05-11,"65% throughout, No active backlogs",74,"Python, SQL, DSA",2026-04-29,placement11@svit.edu.in,Completed
P012,NVIDIA,BCA,Artificial Intelligence & Machine Learning,Network Engineer,10.9,Mumbai,2026-09-11,"60% throughout, No active backlogs",106,"C++, Algorithms",2026-08-31,placement12@svit.edu.in,Registration Open
P013,IBM,MCA,Civil Engineering,Electrical Engineer,17.2,Mumbai,2026-01-26,"60% throughout, No active backlogs",116,"Python, SQL, DSA",2026-01-12,placement13@svit.edu.in,Registration Open
P014,Larsen & Toubro,BCA,Civil Engineering,AI/ML Intern,5.0,Bengaluru,2026-09-11,"65% throughout, No active backlogs",41,"Python, SQL, DSA",2026-09-01,placement14@svit.edu.in,Completed
P015,Wipro,MCA,Artificial Intelligence & Machine Learning,Cloud Engineer,15.4,Hyderabad,2026-03-17,"65% throughout, No active backlogs",8,"AutoCAD, Design",2026-03-09,placement15@svit.edu.in,Completed
P016,Bosch,ME,Data Science,Data Analyst,4.9,Hyderabad,2026-10-24,"60% throughout, No active backlogs",35,"Communication Skills, Aptitude",2026-10-18,placement16@svit.edu.in,Registration Open
P017,Adani Group,ME,Computer Engineering,Software Engineer,13.0,Bengaluru,2026-05-03,"70% throughout, No active backlogs",89,"C++, Algorithms",2026-04-26,placement17@svit.edu.in,Registration Open
P018,Larsen & Toubro,ME,Computer Engineering,Graduate Engineer Trainee,9.2,Hyderabad,2026-11-11,"65% throughout, No active backlogs",61,"C++, Algorithms",2026-11-05,placement18@svit.edu.in,Completed
P019,Oracle,BCA,Electronics & Communication,Civil Engineer,16.4,Pune,2026-08-07,"65% throughout, No active backlogs",86,"C++, Algorithms",2026-07-31,placement19@svit.edu.in,Registration Open
