department_id,program,department_name,duration_years,building,hod_name,department_email,contact_number,vision,mission
D001,Diploma,Computer Engineering,3,Computer Engineering Block,Dr. Ketan Patel,ce@svit.edu.in,+91-265-0001001,To become a center of excellence in Computer Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Computer Engineering."
D002,Diploma,Civil Engineering,3,Civil Block,Dr. Rajesh Shah,civil@svit.edu.in,+91-265-0001002,To become a center of excellence in Civil Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Civil Engineering."
D003,Diploma,Mechanical Engineering,3,Mechanical Block,Dr. Amit Joshi,mech@svit.edu.in,+91-265-0001003,To become a center of excellence in Mechanical Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Mechanical Engineering."
D004,Diploma,Electrical Engineering,3,Electrical Block,Dr. Nirav Patel,ee@svit.edu.in,+91-265-0001004,To become a center of excellence in Electrical Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Electrical Engineering."
D005,Diploma,Information Technology,3,IT Block,Dr. Mehul Desai,it@svit.edu.in,+91-265-0001005,To become a center of excellence in Information Technology.,"Provide quality education, research, innovation and industry-oriented learning in Information Technology."
D006,Diploma,Electronics & Communication,3,EC Block,Dr. Rakesh Bhatt,ec@svit.edu.in,+91-265-0001006,To become a center of excellence in Electronics & Communication.,"Provide quality education, research, innovation and industry-oriented learning in Electronics & Communication."
D007,Diploma,Automobile Engineering,3,Automobile Block,Dr. Hiren Modi,auto@svit.edu.in,+91-265-0001007,To become a center of excellence in Automobile Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Automobile Engineering."
D008,BE,Computer Engineering,4,Engineering Block A,Dr. Vivek Patel,bece@svit.edu.in,+91-265-0001008,To become a center of excellence in Computer Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Computer Engineering."
D009,BE,Information Technology,4,Engineering Block A,Dr. Jay Shah,beit@svit.edu.in,+91-265-0001009,To become a center of excellence in Information Technology.,"Provide quality education, research, innovation and industry-oriented learning in Information Technology."
D010,BE,Civil Engineering,4,Engineering Block B,Dr. Krunal Joshi,becivil@svit.edu.in,+91-265-0001010,To become a center of excellence in Civil Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Civil Engineering."
D011,BE,Mechanical Engineering,4,Engineering Block B,Dr. Dhaval Mehta,bemech@svit.edu.in,+91-265-0001011,To become a center of excellence in Mechanical Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Mechanical Engineering."
D012,BE,Electrical Engineering,4,Engineering Block C,Dr. Rahul Dave,beee@svit.edu.in,+91-265-0001012,To become a center of excellence in Electrical Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Electrical Engineering."
D013,BE,Electronics & Communication,4,Engineering Block C,Dr. Jignesh Pandya,beec@svit.edu.in,+91-265-0001013,To become a center of excellence in Electronics & Communication.,"Provide quality education, research, innovation and industry-oriented learning in Electronics & Communication."
D014,BE,Artificial Intelligence & Machine Learning,4,AI Innovation Center,Dr. Priya Shah,aiml@svit.edu.in,+91-265-0001014,To become a center of excellence in Artificial Intelligence & Machine Learning.,"Provide quality education, research, innovation and industry-oriented learning in Artificial Intelligence & Machine Learning."
D015,BE,Data Science,4,Data Science Lab,Dr. Neha Patel,datascience@svit.edu.in,+91-265-0001015,To become a center of excellence in Data Science.,"Provide quality education, research, innovation and industry-oriented learning in Data Science."
D016,MCA,Computer Applications,2,MCA Block,Dr. Sonal Trivedi,mca@svit.edu.in,+91-265-0001016,To become a center of excellence in Computer Applications.,"Provide quality education, research, innovation and industry-oriented learning in Computer Applications."
D017,BCA,Computer Applications,3,BCA Block,Dr. Komal Vyas,bca@svit.edu.in,+91-265-0001017,To become a center of excellence in Computer Applications.,"Provide quality education, research, innovation and industry-oriented learning in Computer Applications."
D018,ME,Computer Engineering,2,PG Block,Dr. Parth Solanki,mece@svit.edu.in,+91-265-0001018,To become a center of excellence in Computer Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Computer Engineering."
D019,ME,Civil Engineering,2,PG Block,Dr. Bhavna Chauhan,mecivil@svit.edu.in,+91-265-0001019,To become a center of excellence in Civil Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Civil Engineering."
D020,ME,Mechanical Engineering,2,PG Block,Dr. Rina Rathod,memech@svit.edu.in,+91-265-0001020,To become a center of excellence in Mechanical Engineering.,"Provide quality education, research, innovation and industry-oriented learning in Mechanical Engineering."
