faq_id,category,question,answer,keywords
TF0001,Transport,What bus routes are available?,SVIT provides multiple bus routes covering Vadodara and nearby areas. Ask for your area or route number.,transport
TF0002,Transport,How can I apply for a bus pass?,Contact the Transport Office and complete the required registration process.,transport
TF0003,Transport,What are the bus timings?,Bus timings depend on your assigned route. Check the transport schedule or ask for a specific route.,transport
TF0004,Transport,Can I change my bus route?,Route changes are subject to seat availability and Transport Office approval.,transport
TF0005,Transport,Who should I contact for transport issues?,Please contact the Transport Office during working hours.,transport
TF0006,Transport,How do I renew my bus pass?,Keep your valid bus pass or ID card while using the college transport service.,"transport,bus,route"
TF0007,Transport,What if I miss the bus?,Report delays or issues to the Transport Office as soon as possible.,"transport,bus,route"
TF0008,Transport,Can I board from another stop?,Please follow the transport rules for a safe and comfortable journey.,"transport,bus,route"
TF0009,Transport,How do I know my bus number?,Please contact the Transport Office for the latest transport schedule and route details.,"transport,bus,route"
TF0010,Transport,What are the pickup points?,Transport facilities are available on selected routes based on registration.,"transport,bus,route"
TF0011,Transport,Can I cancel transport?,"Bus routes, timings and stops are announced before the semester begins.","transport,bus,route"
TF0012,Transport,Is there a refund policy?,You can check your assigned route through the transport section or Transport Office.,"transport,bus,route"
TF0013,Transport,Can I change my boarding point?,Route changes depend on availability and approval.,"transport,bus,route"
TF0014,Transport,Who is the bus driver?,Keep your valid bus pass or ID card while using the college transport service.,"transport,bus,route"
TF0015,Transport,What is the driver contact number?,Report delays or issues to the Transport Office as soon as possible.,"transport,bus,route"
TF0016,Transport,Is GPS tracking available?,Please follow the transport rules for a safe and comfortable journey.,"transport,bus,route"
TF0017,Transport,What are the morning timings?,Please contact the Transport Office for the latest transport schedule and route details.,"transport,bus,route"
TF0018,Transport,What are the evening return timings?,Transport facilities are available on selected routes based on registration.,"transport,bus,route"
TF0019,Transport,Are buses available on Saturdays?,"Bus routes, timings and stops are announced before the semester begins.","transport,bus,route"
TF0020,Transport,Are buses available during exams?,You can check your assigned route through the transport section or Transport Office.,"transport,bus,route"
TF0021,Transport,Are buses available during vacations?,Route changes depend on availability and approval.,"transport,bus,route"
TF0022,Transport,What should I do if the bus is late?,Keep your valid bus pass or ID card while using the college transport service.,"transport,bus,route"
TF0023,Transport,How do I report a complaint?,Report delays or issues to the Transport Office as soon as possible.,"transport,bus,route"
TF0024,Transport,Can guests travel on the bus?,Please follow the transport rules for a safe and comfortable journey.,"transport,bus,route"
TF0025,Transport,Is there reserved seating?,Please contact the Transport Office for the latest transport schedule and route details.,"transport,bus,route"
TF0026,Transport,What are the transport rules?,Transport facilities are available on selected routes based on registration.,"transport,bus,route"
TF0027,Transport,Can I eat on the bus?,"Bus routes, timings and stops are announced before the semester begins.","transport,bus,route"
TF0028,Transport,What happens if I lose my bus ID?,You can check your assigned route through the transport section or Transport Office.,"transport,bus,route"
TF0029,Transport,How many routes are available?,Route changes depend on availability and approval.,"transport,bus,route"
TF0030,Transport,Is transport compulsory?,Keep your valid bus pass or ID card while using the college transport service.,"transport,bus,route"
