faq_id,category,question,answer,keywords
EX0001,Examination,When are semester exams conducted?,Semester examination schedules are announced by the college before the examination period.,exam
EX0002,Examination,How can I download my hall ticket?,Hall tickets are released before examinations through the official process.,exam
EX0003,Examination,What are the passing marks?,Passing requirements are determined by the academic regulations applicable to your program.,exam
EX0004,Examination,How do I apply for revaluation?,You can apply for revaluation according to the notified procedure after result declaration.,exam
EX0005,Examination,What should I carry to the exam?,"Carry your hall ticket, college ID card and required stationery.",exam
EX0006,Examination,What is the rechecking process?,"Results, hall tickets and examination forms are released through official channels.","exam,results,revaluation"
EX0007,Examination,What is revaluation?,Keep checking notices for updates regarding examinations and results.,"exam,results,revaluation"
EX0008,Examination,How do I apply for a backlog exam?,"For specific cases, contact the Examination Cell or your department office.","exam,results,revaluation"
EX0009,Examination,What if I miss an exam?,Please refer to the official examination notifications for the latest schedule.,"exam,results,revaluation"
EX0010,Examination,When are supplementary exams?,Contact the Examination Cell for procedures and deadlines.,"exam,results,revaluation"
EX0011,Examination,How do I check my results?,Follow the examination guidelines issued by your department.,"exam,results,revaluation"
EX0012,Examination,Where can I download my marksheet?,Exam-related dates and announcements are published through official notices.,"exam,results,revaluation"
EX0013,Examination,What is the grading system?,Your program's academic regulations define examination rules and passing criteria.,"exam,results,revaluation"
EX0014,Examination,What are ATKT rules?,"Results, hall tickets and examination forms are released through official channels.","exam,results,revaluation"
EX0015,Examination,Can I use a calculator?,Keep checking notices for updates regarding examinations and results.,"exam,results,revaluation"
EX0016,Examination,What are the exam rules?,"For specific cases, contact the Examination Cell or your department office.","exam,results,revaluation"
EX0017,Examination,What items are prohibited in the exam hall?,Please refer to the official examination notifications for the latest schedule.,"exam,results,revaluation"
EX0018,Examination,How early should I reach the exam center?,Contact the Examination Cell for procedures and deadlines.,"exam,results,revaluation"
EX0019,Examination,What happens if I am late?,Follow the examination guidelines issued by your department.,"exam,results,revaluation"
EX0020,Examination,How is attendance related to exams?,Exam-related dates and announcements are published through official notices.,"exam,results,revaluation"
EX0021,Examination,How are practicals evaluated?,Your program's academic regulations define examination rules and passing criteria.,"exam,results,revaluation"
EX0022,Examination,What is viva examination?,"Results, hall tickets and examination forms are released through official channels.","exam,results,revaluation"
