faq_id,category,question,answer,keywords
ST0001,Small Talk,How are you?,I'm doing great! How can I help you with SVIT today?,conversation
ST0002,Small Talk,What's up?,I'm here and ready to help you with college information.,conversation
ST0003,Small Talk,Are you a human?,"No, I'm the SVIT AI Assistant created to help students.",conversation
ST0004,Small Talk,Who made you?,I was built to assist SVIT students with academic and campus information.,conversation
ST0005,Small Talk,Can you help me?,Absolutely! Ask me anything related to SVIT.,conversation
ST0006,Small Talk,Tell me a joke,Why did the programmer quit his job? Because he didn't get arrays! 😄,conversation
ST0007,Small Talk,Thank you,You're welcome! Happy to help.,conversation
ST0008,Small Talk,Thanks,Anytime! Let me know if you need anything else.,conversation
ST0009,Small Talk,Bye,Goodbye! Have a wonderful day.,conversation
ST0010,Small Talk,See you later,See you! I'll be here whenever you need me.,conversation
ST0011,Small Talk,What can you do?,"Yes! I can communicate in English, Hindi, and Gujarati.","small talk,conversation"
ST0012,Small Talk,Can you solve coding problems?,You're doing great—keep learning and stay curious!,"small talk,conversation"
ST0013,Small Talk,Can you explain Python?,Best of luck with your studies and projects!,"small talk,conversation"
ST0014,Small Talk,Can you speak Gujarati?,Thanks! I'm glad you found me helpful.,"small talk,conversation"
ST0015,Small Talk,Can you speak Hindi?,Ask me anything related to SVIT or your studies.,"small talk,conversation"
ST0016,Small Talk,Do you know my college?,I can also help explain programming and AI concepts.,"small talk,conversation"
ST0017,Small Talk,Are you online?,I'm always happy to chat and help with your college questions.,"small talk,conversation"
ST0018,Small Talk,Can you motivate me?,"I can assist with academics, departments, faculty, library, placements, events and much more.","small talk,conversation"
ST0019,Small Talk,Tell me a quote,"Yes! I can communicate in English, Hindi, and Gujarati.","small talk,conversation"
ST0020,Small Talk,Wish me luck,You're doing great—keep learning and stay curious!,"small talk,conversation"
ST0021,Small Talk,Good luck,Best of luck with your studies and projects!,"small talk,conversation"
ST0022,Small Talk,Happy birthday,Thanks! I'm glad you found me helpful.,"small talk,conversation"
ST0023,Small Talk,Congratulations,Ask me anything related to SVIT or your studies.,"small talk,conversation"
ST0024,Small Talk,I need help,I can also help explain programming and AI concepts.,"small talk,conversation"
ST0025,Small Talk,Help me,I'm always happy to chat and help with your college questions.,"small talk,conversation"
ST0026,Small Talk,What is AI?,"I can assist with academics, departments, faculty, library, placements, events and much more.","small talk,conversation"
ST0027,Small Talk,What is ML?,"Yes! I can communicate in English, Hindi, and Gujarati.","small talk,conversation"
ST0028,Small Talk,Can you explain RAG?,You're doing great—keep learning and stay curious!,"small talk,conversation"
ST0029,Small Talk,Who is the principal?,Best of luck with your studies and projects!,"small talk,conversation"
ST0030,Small Talk,Where is the library?,Thanks! I'm glad you found me helpful.,"small talk,conversation"
ST0031,Small Talk,How do I contact faculty?,Ask me anything related to SVIT or your studies.,"small talk,conversation"
ST0032,Small Talk,Who are you?,I can also help explain programming and AI concepts.,"small talk,conversation"
ST0033,Small Talk,What is your name?,I'm always happy to chat and help with your college questions.,"small talk,conversation"
ST0034,Small Talk,Can we chat?,"I can assist with academics, departments, faculty, library, placements, events and much more.","small talk,conversation"
ST0035,Small Talk,I'm bored,"Yes! I can communicate in English, Hindi, and Gujarati.","small talk,conversation"
ST0036,Small Talk,Good job,You're doing great—keep learning and stay curious!,"small talk,conversation"
ST0037,Small Talk,Nice work,Best of luck with your studies and projects!,"small talk,conversation"
ST0038,Small Talk,You're awesome,Thanks! I'm glad you found me helpful.,"small talk,conversation"
ST0039,Small Talk,You're smart,Ask me anything related to SVIT or your studies.,"small talk,conversation"
ST0040,Small Talk,Tell me something interesting,I can also help explain programming and AI concepts.,"small talk,conversation"
ST0041,Small Talk,What time is it?,I'm always happy to chat and help with your college questions.,"small talk,conversation"
ST0042,Small Talk,What can you do?,"I can assist with academics, departments, faculty, library, placements, events and much more.","small talk,conversation"
ST0043,Small Talk,Can you solve coding problems?,"Yes! I can communicate in English, Hindi, and Gujarati.","small talk,conversation"
