faq_id,category,question,answer,keywords
NF0001,Notices,Where can I see the latest notices?,The latest notices are available on the Notices page and college notice board.,notice
NF0002,Notices,How often are notices updated?,Notices are published whenever there is an important announcement.,notice
NF0003,Notices,How do I download a notice?,Open the notice and click the attached document if available.,notice
NF0004,Notices,Who publishes notices?,Authorized college departments and administration publish official notices.,notice
NF0005,Notices,Can I receive notice notifications?,"Yes, notifications are available through the student portal if enabled.",notice
NF0006,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0007,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0008,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0009,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0010,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0011,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0012,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0013,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0014,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0015,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0016,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0017,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0018,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0019,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0020,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0021,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0022,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0023,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0024,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0025,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0026,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0027,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0028,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0029,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0030,Notices,What categories of notices exist?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0031,Notices,Are archived notices searchable?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0032,Notices,How can I avoid missing important notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0033,Notices,What are today's notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0034,Notices,Any new academic notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0035,Notices,Any exam notice?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0036,Notices,Any placement notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0037,Notices,Any holiday notice?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0038,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0039,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0040,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0041,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0042,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0043,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0044,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0045,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0046,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0047,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0048,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0049,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0050,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0051,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0052,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0053,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0054,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0055,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0056,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0057,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0058,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0059,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0060,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0061,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0062,Notices,What categories of notices exist?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0063,Notices,Are archived notices searchable?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0064,Notices,How can I avoid missing important notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0065,Notices,What are today's notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0066,Notices,Any new academic notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0067,Notices,Any exam notice?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0068,Notices,Any placement notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0069,Notices,Any holiday notice?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0070,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0071,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0072,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0073,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0074,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0075,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0076,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0077,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0078,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0079,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0080,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0081,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0082,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0083,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0084,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0085,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0086,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0087,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0088,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0089,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0090,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0091,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0092,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0093,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0094,Notices,What categories of notices exist?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0095,Notices,Are archived notices searchable?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0096,Notices,How can I avoid missing important notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0097,Notices,What are today's notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0098,Notices,Any new academic notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0099,Notices,Any exam notice?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0100,Notices,Any placement notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0101,Notices,Any holiday notice?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0102,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0103,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0104,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0105,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0106,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0107,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0108,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0109,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0110,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0111,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0112,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0113,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0114,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0115,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0116,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0117,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0118,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0119,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0120,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0121,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0122,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0123,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0124,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0125,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0126,Notices,What categories of notices exist?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0127,Notices,Are archived notices searchable?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0128,Notices,How can I avoid missing important notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0129,Notices,What are today's notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0130,Notices,Any new academic notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0131,Notices,Any exam notice?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0132,Notices,Any placement notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0133,Notices,Any holiday notice?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0134,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0135,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0136,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0137,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0138,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0139,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0140,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0141,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0142,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0143,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0144,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0145,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0146,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0147,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0148,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0149,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0150,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0151,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0152,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0153,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0154,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0155,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0156,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0157,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0158,Notices,What categories of notices exist?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0159,Notices,Are archived notices searchable?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0160,Notices,How can I avoid missing important notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0161,Notices,What are today's notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0162,Notices,Any new academic notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0163,Notices,Any exam notice?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0164,Notices,Any placement notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0165,Notices,Any holiday notice?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0166,Notices,How do I search notices?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0167,Notices,Can I filter notices by department?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0168,Notices,How long are notices available?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0169,Notices,Where can I find old notices?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0170,Notices,Can I print a notice?,Official notices are published by authorized college departments.,"notices,announcement"
NF0171,Notices,How do I know if a notice is important?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0172,Notices,What is an urgent notice?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0173,Notices,Can I bookmark notices?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0174,Notices,Will I get email notifications?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0175,Notices,Can I download notices as PDF?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0176,Notices,Who can upload notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0177,Notices,How do I report an incorrect notice?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0178,Notices,Can faculty publish notices?,Official notices are published by authorized college departments.,"notices,announcement"
NF0179,Notices,Are notices available for all programs?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0180,Notices,Can Diploma students view BE notices?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0181,Notices,How do I check notice history?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
NF0182,Notices,What attachments can notices contain?,Enable notifications in your student account to receive important updates.,"notices,announcement"
NF0183,Notices,How do I know the expiry date?,Expired notices remain available in the archive if the system supports it.,"notices,announcement"
NF0184,Notices,Can I share notices?,Contact the issuing department if you have questions about a specific notice.,"notices,announcement"
NF0185,Notices,How do I contact the issuing department?,Please check the Notices page regularly for the latest announcements.,"notices,announcement"
NF0186,Notices,Where are scholarship notices posted?,Official notices are published by authorized college departments.,"notices,announcement"
NF0187,Notices,Where are event notices posted?,"You can filter notices by category, department or program where available.","notices,announcement"
NF0188,Notices,How do I know if registration is open?,"Important notices include deadlines, examinations, placements and academic updates.","notices,announcement"
NF0189,Notices,Can I receive mobile notifications?,Download the attached PDF if a notice includes supporting documents.,"notices,announcement"
