room_id,room_name,building,floor,room_type,capacity,status,department,facilities
ROOM-0001,AR-101,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0002,AR-102,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0003,AR-103,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0004,AR-104,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0005,AR-105,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0006,AR-106,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0007,AR-107,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0008,AR-108,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0009,AR-109,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0010,AR-110,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0011,AR-111,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0012,AR-112,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0013,AR-113,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0014,AR-114,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0015,AR-115,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0016,AR-116,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0017,AR-117,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0018,AR-118,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0019,AR-119,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0020,AR-120,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0021,AR-122,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0022,AR-123,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0023,AR-124,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0024,AR-125,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0025,AR-126,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0026,AR-127,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0027,AR-128,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0028,AR-131,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0029,AR-132,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0030,AR-133,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0031,AR-134,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0032,AR-135,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0033,AR-136,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0034,AR-137,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0035,AR-138,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0036,AR-139,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0037,AR-140,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0038,AR-141,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0039,AR-142,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0040,AR-143,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0041,AR-144,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0042,AR-145,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0043,AR-146,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0044,AR-147,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0045,AR-148,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0046,AR-149,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0047,AR-150,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0048,AR-151,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0049,AR-152,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0050,AR-153,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0051,AR-154,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0052,AR-155,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0053,AR-156,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0054,AR-157,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0055,AR-158,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0056,AR-159,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0057,AR-160,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0058,AR-161,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0059,AR-162,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0060,AR-163,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0061,AR-164,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0062,AR-165,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0063,AR-166,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0064,AR-167,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0065,AR-168,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0066,AR-169,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0067,AR-170,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0068,AR-171,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0069,AR-173,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0070,AR-174,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0071,AR-176,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0072,AR-177,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0073,AR-178,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0074,AR-179,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0075,AR-180,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0076,AR-181,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0077,AR-182,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0078,AR-183,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0079,AR-184,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0080,AR-185,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0081,AR-187,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0082,AR-188,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0083,AR-189,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0084,AR-190,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0085,AR-192,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0086,AR-193,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0087,AR-194,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0088,AR-195,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0089,AR-196,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0090,AR-197,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0091,AR-198,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0092,AR-199,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0093,AR-200,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0094,AR-201,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0095,AR-202,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0096,AR-203,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0097,AR-204,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0098,AR-205,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0099,AR-206,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0100,AR-207,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0101,AR-208,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0102,AR-209,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0103,AR-210,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0104,AR-211,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0105,AR-212,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0106,AR-213,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0107,AR-214,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0108,AR-215,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0109,AR-216,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0110,AR-217,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0111,AR-218,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0112,AR-219,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0113,AR-220,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0114,AR-221,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0115,AR-222,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0116,AR-223,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0117,AR-224,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0118,AR-225,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0119,AR-226,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0120,AR-227,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0121,AR-228,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0122,AR-229,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0123,AR-230,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0124,AR-231,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0125,AR-232,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0126,AR-233,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0127,AR-234,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0128,AR-235,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0129,AR-236,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0130,AR-237,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0131,AR-238,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0132,AR-239,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0133,AR-240,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0134,AR-241,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0135,AR-242,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0136,AR-243,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0137,AR-244,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0138,AR-245,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0139,AR-246,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0140,AR-249,,,,,Active,Artificial Intelligence & Machine Learning,
ROOM-0141,AR-250,,,,,Active,Artificial Intelligence & Machine Learning,
