book_id,program,department,year,semester,subject,book_title,author,publisher,edition,isbn,available_copies,shelf
B00001,Diploma,Computer Engineering,FY,1,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 2,McGraw Hill,2th,978-93-100001,3,CO-1-2
B00002,Diploma,Computer Engineering,FY,1,Python Programming,Python Programming - Complete Guide,Author 3,McGraw Hill,3th,978-93-100002,4,CO-1-3
B00003,Diploma,Computer Engineering,FY,1,Data Structures,Data Structures - Complete Guide,Author 4,McGraw Hill,4th,978-93-100003,5,CO-1-4
B00004,Diploma,Computer Engineering,FY,1,DBMS,DBMS - Complete Guide,Author 5,McGraw Hill,5th,978-93-100004,6,CO-1-5
B00005,Diploma,Computer Engineering,FY,1,Computer Networks,Computer Networks - Complete Guide,Author 6,McGraw Hill,1th,978-93-100005,7,CO-1-6
B00006,Diploma,Computer Engineering,FY,2,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 7,McGraw Hill,2th,978-93-100006,8,CO-1-7
B00007,Diploma,Computer Engineering,FY,2,Python Programming,Python Programming - Complete Guide,Author 8,McGraw Hill,3th,978-93-100007,9,CO-1-8
B00008,Diploma,Computer Engineering,FY,2,Data Structures,Data Structures - Complete Guide,Author 9,McGraw Hill,4th,978-93-100008,2,CO-1-9
B00009,Diploma,Computer Engineering,FY,2,DBMS,DBMS - Complete Guide,Author 10,McGraw Hill,5th,978-93-100009,3,CO-1-10
B00010,Diploma,Computer Engineering,FY,2,Computer Networks,Computer Networks - Complete Guide,Author 11,McGraw Hill,1th,978-93-100010,4,CO-1-11
B00011,Diploma,Computer Engineering,SY,3,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 12,McGraw Hill,2th,978-93-100011,5,CO-2-12
B00012,Diploma,Computer Engineering,SY,3,Python Programming,Python Programming - Complete Guide,Author 13,McGraw Hill,3th,978-93-100012,6,CO-2-13
B00013,Diploma,Computer Engineering,SY,3,Data Structures,Data Structures - Complete Guide,Author 14,McGraw Hill,4th,978-93-100013,7,CO-2-14
B00014,Diploma,Computer Engineering,SY,3,DBMS,DBMS - Complete Guide,Author 15,McGraw Hill,5th,978-93-100014,8,CO-2-15
B00015,Diploma,Computer Engineering,SY,3,Computer Networks,Computer Networks - Complete Guide,Author 16,McGraw Hill,1th,978-93-100015,9,CO-2-16
B00016,Diploma,Computer Engineering,SY,4,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 17,McGraw Hill,2th,978-93-100016,2,CO-2-17
B00017,Diploma,Computer Engineering,SY,4,Python Programming,Python Programming - Complete Guide,Author 18,McGraw Hill,3th,978-93-100017,3,CO-2-18
B00018,Diploma,Computer Engineering,SY,4,Data Structures,Data Structures - Complete Guide,Author 19,McGraw Hill,4th,978-93-100018,4,CO-2-19
B00019,Diploma,Computer Engineering,SY,4,DBMS,DBMS - Complete Guide,Author 20,McGraw Hill,5th,978-93-100019,5,CO-2-20
B00020,Diploma,Computer Engineering,SY,4,Computer Networks,Computer Networks - Complete Guide,Author 21,McGraw Hill,1th,978-93-100020,6,CO-2-1
B00021,Diploma,Computer Engineering,TY,5,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 22,McGraw Hill,2th,978-93-100021,7,CO-3-2
B00022,Diploma,Computer Engineering,TY,5,Python Programming,Python Programming - Complete Guide,Author 23,McGraw Hill,3th,978-93-100022,8,CO-3-3
B00023,Diploma,Computer Engineering,TY,5,Data Structures,Data Structures - Complete Guide,Author 24,McGraw Hill,4th,978-93-100023,9,CO-3-4
B00024,Diploma,Computer Engineering,TY,5,DBMS,DBMS - Complete Guide,Author 25,McGraw Hill,5th,978-93-100024,2,CO-3-5
B00025,Diploma,Computer Engineering,TY,5,Computer Networks,Computer Networks - Complete Guide,Author 26,McGraw Hill,1th,978-93-100025,3,CO-3-6
B00026,Diploma,Computer Engineering,TY,6,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 27,McGraw Hill,2th,978-93-100026,4,CO-3-7
B00027,Diploma,Computer Engineering,TY,6,Python Programming,Python Programming - Complete Guide,Author 28,McGraw Hill,3th,978-93-100027,5,CO-3-8
B00028,Diploma,Computer Engineering,TY,6,Data Structures,Data Structures - Complete Guide,Author 29,McGraw Hill,4th,978-93-100028,6,CO-3-9
B00029,Diploma,Computer Engineering,TY,6,DBMS,DBMS - Complete Guide,Author 30,McGraw Hill,5th,978-93-100029,7,CO-3-10
